"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.975795741E0,-2.501136398E1,3.666600037E1,-7.904409170E-1
4.991795741E0,-3.430011749E1,3.716503906E1,-1.265297294E0
5.007795741E0,-2.946426201E1,3.452774048E1,4.060853124E-1
5.023795741E0,-1.925232315E1,3.349039078E1,4.157559872E0
5.039795741E0,-1.016415215E1,3.141763496E1,6.106880665E0
5.055795741E0,-5.408961296E0,2.625540924E1,8.017501831E0
5.071795741E0,-3.920074224E0,2.120704269E1,8.529611588E0
5.087795741E0,-2.535967350E0,1.560737991E1,8.349079132E0
5.103795741E0,-1.380812764E0,1.119856262E1,6.695863724E0
5.119795741E0,-9.426451474E-2,6.661387444E0,4.193281174E0
5.135795741E0,1.447419405E0,2.571544886E0,1.573881149E0
5.151795741E0,2.732588530E0,2.602305710E-1,-9.364106059E-1
5.167795741E0,2.913494349E0,7.793413401E-1,-4.237219810E0
5.183855116E0,2.693946362E0,2.846859217E0,-5.479446888E0
5.199795741E0,1.510166645E0,4.306067467E0,-4.823722839E0
5.215795741E0,-8.910261095E-2,3.057127476E0,-2.058974981E0
5.231795741E0,-1.175332785E0,3.991134465E-1,-2.358154535E0
5.247795741E0,-6.995857358E-1,-1.325650215E0,-4.191088200E0
5.263795741E0,1.705820709E-1,-1.975628138E0,-5.465023994E0
5.279795741E0,9.272742867E-1,-1.510798693E0,-5.710803032E0
5.295795741E0,2.073359728E0,-1.403730035E0,-3.838671446E0
5.311795741E0,2.109674692E0,2.595985234E-1,-4.182823658E0
5.327797303E0,3.796954870E0,2.934199572E0,-3.114693642E0
5.343795741E0,4.902712345E0,5.066418171E0,1.310662627E0
5.359795741E0,6.554912567E0,8.942505836E0,7.375290394E-1
5.375795741E0,8.674173355E0,1.004865646E1,4.955710173E-1
5.391795741E0,4.014137745E0,5.566500187E0,2.714191675E0
5.407795741E0,-3.790950298E0,-1.666192055E0,1.079152966E1
5.423795741E0,2.582098842E-1,-2.445447206E0,1.140300751E1
5.439795741E0,8.049085617E0,-2.341538906E0,1.550373936E1
5.455795741E0,5.217626572E0,-5.301548004E0,1.606792831E1
5.471795741E0,2.444882154E0,-8.899305344E0,1.550693703E1
5.487795741E0,2.957978725E0,-1.462963581E1,1.591572380E1
5.503795741E0,3.412810087E0,-2.153730774E1,1.697941017E1
5.519795741E0,4.424734116E0,-1.875574684E1,1.656171799E1
5.535795741E0,5.721720695E0,-1.286652660E1,1.447723007E1
5.551795741E0,7.101106644E0,-8.930736542E0,1.174854851E1
5.567795741E0,8.103501320E0,-6.200331211E0,8.286552429E0
5.583795741E0,8.458379745E0,-4.251767159E0,4.675789356E0
5.599795741E0,7.619738102E0,-1.990711689E0,1.067229748E0
5.615795741E0,5.893662453E0,1.730873823E0,-2.096736670E0
5.631795741E0,2.756319761E0,7.385020733E0,-4.213995934E0
5.647795741E0,6.487329006E-1,1.206194973E1,-5.750480175E0
5.663795741E0,3.680146456E0,1.038509846E1,-5.747980595E0
5.679795741E0,7.020163059E0,5.727973938E0,-2.994150400E0
5.695795741E0,5.361814976E0,2.631409645E0,-5.557421222E-2
5.711795741E0,1.672292471E0,1.749759316E0,1.714257956E0
5.727795741E0,-1.185991645E0,2.085521936E0,1.928385854E0
5.743795741E0,-2.396595955E0,2.126443863E0,1.042876005E0
5.759795741E0,-2.317654371E0,2.346423149E0,-1.745947748E-1
5.775795741E0,-1.004472971E0,2.865217686E0,-2.113601267E-1
5.791797303E0,1.012057781E0,3.080724716E0,-3.983185291E-1
5.807797303E0,3.694425583E0,1.825262785E0,-5.653667450E-1
5.823795741E0,6.651695728E0,1.328590363E-1,-2.235992908E0
5.839795741E0,5.519745827E0,-9.385079145E-1,-1.781037092E0
5.855795741E0,3.054235220E0,-4.761683941E-1,9.640109539E-1
5.871795741E0,1.466601849E0,2.251631737E0,3.205213547E0
5.887795741E0,1.546367109E-1,7.828311443E0,5.032258034E0
5.903795741E0,-3.257713556E0,1.828163719E1,3.460253477E0
5.919795741E0,-6.349470615E0,2.447741890E1,8.615409851E0
5.935795741E0,-6.873877525E0,1.857473373E1,7.213308334E0
5.951795741E0,-1.295506382E1,2.688272858E1,4.040588856E0
5.967795741E0,-1.833443451E1,2.543235970E1,2.983481646E0
5.983795741E0,-2.669394112E1,2.808460999E1,2.150404930E0
5.999795741E0,-2.631557083E1,3.230468369E1,3.612371534E-2
6.015795741E0,-2.132343864E1,3.040322113E1,4.229194164E0
6.031795741E0,-1.957027054E1,2.818154526E1,5.893978596E0
6.047795741E0,-1.832079506E1,2.645497131E1,7.201911926E0
6.063795741E0,-1.468603325E1,2.367471886E1,8.549560547E0
6.079795741E0,-1.017269516E1,1.971902657E1,9.235000610E0
6.095795741E0,-7.286197186E0,1.590806293E1,8.263913155E0
6.111797303E0,-5.525846004E0,1.230090046E1,6.329129696E0
6.127797303E0,-3.210222244E0,7.430108070E0,3.790050030E0
6.143797303E0,-1.350808591E-1,2.726899862E0,9.347825050E-1
6.159797303E0,1.888172865E0,-6.829125285E-1,-1.676343441E0
6.175797303E0,2.765398741E0,-3.097043514E0,-2.663013220E0
6.191797303E0,3.032812119E0,-3.530480146E0,-2.740221262E0
6.207797303E0,3.446874857E0,-2.735634089E0,-2.178244591E0
6.223795741E0,4.463271141E0,-1.259350061E0,-2.246546268E0
6.239795741E0,5.073016644E0,1.313937902E-1,-2.111839056E0
6.255797303E0,4.944294453E0,1.364062905E0,-2.434644461E0
6.271797303E0,4.800891399E0,2.923166990E0,-3.024479866E0
6.287797303E0,4.433228493E0,4.358922005E0,-3.464735270E0
6.303797303E0,4.123025894E0,5.129146099E0,-3.126453876E0
6.319826991E0,3.625884295E0,6.054361343E0,-2.325363636E0
6.335797303E0,3.888346434E0,7.424620628E0,-1.566028237E0
